70
0 2 4
0 3 56
0 4 37
0 5 48
0 7 1
0 13 53
0 16 46
0 18 29
0 19 6
0 22 9
0 23 65
0 24 15
0 27 27
0 28 34
0 29 52
0 30 45
0 31 54
0 32 59
0 33 35
0 34 2
0 35 3
0 36 49
0 37 69
0 38 67
0 39 8
0 40 55
0 41 5
0 45 12
0 48 18
0 49 11
0 55 13
0 62 21
0 63 10
0 64 25
0 65 42
0 66 16
0 69 32
1 3 19
1 4 12
1 5 50
1 6 29
1 7 13
1 9 57
1 11 25
1 12 69
1 13 27
1 16 34
1 17 37
1 18 26
1 19 49
1 24 9
1 26 64
1 27 24
1 32 10
1 34 54
1 35 30
1 36 39
1 38 16
1 39 62
1 41 0
1 43 5
1 44 44
1 49 20
1 50 63
1 57 1
1 58 31
1 59 36
1 63 59
1 64 43
1 68 47
2 3 57
2 6 64
2 8 42
2 12 52
2 14 27
2 20 14
2 27 31
2 28 48
2 32 53
2 39 60
2 40 16
2 41 6
2 44 55
2 48 54
2 50 4
2 52 41
2 53 5
2 56 56
2 57 26
2 58 63
2 59 51
2 62 34
2 66 8
2 68 29
3 1 48
3 2 39
3 3 50
3 5 19
3 10 31
3 12 13
3 16 57
3 18 16
3 19 59
3 23 1
3 26 18
3 27 28
3 29 47
3 30 24
3 34 44
3 41 58
3 44 27
3 45 15
3 50 7
3 54 11
3 55 0
3 56 3
3 61 33
3 63 68
3 65 63
3 66 62
3 67 35
4 1 7
4 4 1
4 5 56
4 9 38
4 10 64
4 13 68
4 19 2
4 23 42
4 26 40
4 29 29
4 30 4
4 31 61
4 32 22
4 33 37
4 34 45
4 40 48
4 44 67
4 45 43
4 47 25
4 53 0
4 57 57
4 59 59
4 60 21
5 0 7
5 1 8
5 2 28
5 3 11
5 8 10
5 10 27
5 13 52
5 15 42
5 19 30
5 21 36
5 22 46
5 23 22
5 25 45
5 26 58
5 27 50
5 28 12
5 32 35
5 33 47
5 35 64
5 36 63
5 37 56
5 39 23
5 41 14
5 42 41
5 45 19
5 48 38
5 50 65
5 53 13
5 61 25
5 62 37
5 63 31
5 67 59
5 69 20
6 4 68
6 5 13
6 6 35
6 7 55
6 9 44
6 10 22
6 14 69
6 16 63
6 17 59
6 18 58
6 21 50
6 23 24
6 25 7
6 26 34
6 27 60
6 28 46
6 32 56
6 34 64
6 36 42
6 37 23
6 38 47
6 39 32
6 40 19
6 43 38
6 44 17
6 46 62
6 47 1
6 48 61
6 50 40
6 51 57
6 56 45
6 57 52
6 59 2
6 63 4
6 66 48
6 67 54
6 68 3
6 69 16
7 3 42
7 5 68
7 11 7
7 12 19
7 13 35
7 15 37
7 16 6
7 17 29
7 20 44
7 22 63
7 25 41
7 35 38
7 44 28
7 51 16
7 52 0
7 54 25
7 56 65
7 59 54
7 60 15
7 62 67
7 66 31
7 68 8
8 0 56
8 2 44
8 4 38
8 5 17
8 6 8
8 9 62
8 10 68
8 16 45
8 23 64
8 24 42
8 26 63
8 27 59
8 28 52
8 29 40
8 31 18
8 36 7
8 38 6
8 43 31
8 44 24
8 45 22
8 47 50
8 48 43
8 52 3
8 55 30
8 56 33
8 60 46
8 61 16
8 65 36
8 66 53
8 67 69
9 0 63
9 2 19
9 4 28
9 5 54
9 7 62
9 9 40
9 11 17
9 13 41
9 14 49
9 20 34
9 21 9
9 23 61
9 25 1
9 29 65
9 30 0
9 31 56
9 37 24
9 42 55
9 43 59
9 46 16
9 48 60
9 51 64
9 54 12
9 59 33
9 60 57
9 61 35
9 64 27
9 65 51
9 66 5
9 67 48
10 2 22
10 4 55
10 6 11
10 7 4
10 9 35
10 11 36
10 12 62
10 13 37
10 16 56
10 17 16
10 18 39
10 19 17
10 25 0
10 26 38
10 27 67
10 28 21
10 33 20
10 34 28
10 35 60
10 36 59
10 39 58
10 42 13
10 43 48
10 45 44
10 46 32
10 48 27
10 49 30
10 51 40
10 57 19
10 59 49
10 60 10
10 61 51
10 62 66
10 64 64
10 65 26
10 67 23
11 0 57
11 1 46
11 2 0
11 5 69
11 12 38
11 16 17
11 18 61
11 24 30
11 27 63
11 31 59
11 34 36
11 35 27
11 36 53
11 39 43
11 41 66
11 42 16
11 44 40
11 45 29
11 49 60
11 53 37
11 54 52
11 57 4
11 61 26
11 62 47
11 64 62
12 0 42
12 2 46
12 3 24
12 4 3
