Instance, Algorithm, RandSeed, Duration, Optima
0.txt, HEA-ELITE, 1, 0.114, 0
0.txt, HEA-ELITE, 2, 0.116, 0
0.txt, HEA-ELITE, 3, 0.127, 0
0.txt, HEA-ELITE, 4, 0.142, 0
0.txt, HEA-ELITE, 5, 0.117, 0
0.txt, HEA-ELITE, 6, 0.113, 0
0.txt, HEA-ELITE, 7, 0.131, 0
0.txt, HEA-ELITE, 8, 0.121, 0
0.txt, HEA-ELITE, 9, 0.125, 0
0.txt, HEA-ELITE, 10, 0.122, 0
0.txt, HEA-ELITE, 11, 0.109, 0
0.txt, HEA-ELITE, 12, 0.123, 0
0.txt, HEA-ELITE, 13, 0.125, 0
0.txt, HEA-ELITE, 14, 0.118, 0
0.txt, HEA-ELITE, 15, 0.124, 0
0.txt, HEA-ELITE, 16, 0.134, 0
0.txt, HEA-ELITE, 17, 0.113, 0
0.txt, HEA-ELITE, 18, 0.123, 0
0.txt, HEA-ELITE, 19, 0.12, 0
0.txt, HEA-ELITE, 20, 0.125, 0
0.txt, HEA-ELITE, 21, 0.119, 0
0.txt, HEA-ELITE, 22, 0.125, 0
0.txt, HEA-ELITE, 23, 0.12, 0
0.txt, HEA-ELITE, 24, 0.115, 0
0.txt, HEA-ELITE, 25, 0.119, 0
0.txt, HEA-ELITE, 26, 0.12, 0
0.txt, HEA-ELITE, 27, 0.115, 0
0.txt, HEA-ELITE, 28, 0.129, 0
0.txt, HEA-ELITE, 29, 0.124, 0
0.txt, HEA-ELITE, 30, 0.12, 0
1.txt, HEA-ELITE, 1, 0.236, 0
1.txt, HEA-ELITE, 2, 0.391, 0
1.txt, HEA-ELITE, 3, 0.205, 0
1.txt, HEA-ELITE, 4, 0.196, 0
1.txt, HEA-ELITE, 5, 0.429, 0
1.txt, HEA-ELITE, 6, 0.316, 0
1.txt, HEA-ELITE, 7, 0.221, 0
1.txt, HEA-ELITE, 8, 0.227, 0
1.txt, HEA-ELITE, 9, 0.25, 0
1.txt, HEA-ELITE, 10, 0.229, 0
1.txt, HEA-ELITE, 11, 0.187, 0
1.txt, HEA-ELITE, 12, 0.292, 0
1.txt, HEA-ELITE, 13, 0.532, 0
1.txt, HEA-ELITE, 14, 0.439, 0
1.txt, HEA-ELITE, 15, 0.246, 0
1.txt, HEA-ELITE, 16, 0.632, 0
1.txt, HEA-ELITE, 17, 0.23, 0
1.txt, HEA-ELITE, 18, 1.616, 0
1.txt, HEA-ELITE, 19, 0.203, 0
1.txt, HEA-ELITE, 20, 0.222, 0
1.txt, HEA-ELITE, 21, 0.802, 0
1.txt, HEA-ELITE, 22, 0.646, 0
1.txt, HEA-ELITE, 23, 0.185, 0
1.txt, HEA-ELITE, 24, 0.48, 0
1.txt, HEA-ELITE, 25, 0.226, 0
1.txt, HEA-ELITE, 26, 0.278, 0
1.txt, HEA-ELITE, 27, 0.404, 0
1.txt, HEA-ELITE, 28, 0.157, 0
1.txt, HEA-ELITE, 29, 0.919, 0
1.txt, HEA-ELITE, 30, 0.737, 0
2.txt, HEA-ELITE, 1, 240.396, 0
2.txt, HEA-ELITE, 2, 7.253, 0
2.txt, HEA-ELITE, 3, 88.247, 0
2.txt, HEA-ELITE, 4, 24.789, 0
2.txt, HEA-ELITE, 5, 73.439, 0
2.txt, HEA-ELITE, 6, 10.13, 0
2.txt, HEA-ELITE, 7, 111.548, 0
2.txt, HEA-ELITE, 8, 78.659, 0
2.txt, HEA-ELITE, 9, 116.779, 0
2.txt, HEA-ELITE, 10, 126.428, 0
2.txt, HEA-ELITE, 11, 87.657, 0
2.txt, HEA-ELITE, 12, 12.273, 0
2.txt, HEA-ELITE, 13, 174.23, 0
2.txt, HEA-ELITE, 14, 84.31, 0
2.txt, HEA-ELITE, 15, 14.926, 0
2.txt, HEA-ELITE, 16, 89.973, 0
2.txt, HEA-ELITE, 17, 186.508, 0
2.txt, HEA-ELITE, 18, 294.834, 0
